Generation: 1; Difference: 188.93239908402427; Time: 56745193643;
Generation: 2; Difference: 185.82532260660975; Time: 106956726919;
Generation: 3; Difference: 183.00691180908294; Time: 163378709491;
Generation: 4; Difference: 180.86552742893267; Time: 217947331926;
Generation: 5; Difference: 179.40388930282074; Time: 273169780877;
Generation: 6; Difference: 178.62725693042356; Time: 326695637296;
Generation: 7; Difference: 178.0332512176406; Time: 380645069872;
Generation: 8; Difference: 177.6261801844885; Time: 435469398815;
Generation: 9; Difference: 177.12235550397048; Time: 493591887000;
Generation: 10; Difference: 176.80104330410958; Time: 544003999624;
Generation: 11; Difference: 176.4714819154737; Time: 596736298415;
Generation: 12; Difference: 176.09389957127146; Time: 651229103355;
Generation: 13; Difference: 175.93309226333352; Time: 702162666533;
Generation: 14; Difference: 175.6248544821357; Time: 758500105352;
Generation: 15; Difference: 175.45590800494327; Time: 808209438367;
Generation: 16; Difference: 175.3134080397537; Time: 860328244046;
Generation: 17; Difference: 175.14548100928798; Time: 916833269360;
Generation: 18; Difference: 175.00889558253894; Time: 966005168864;
Generation: 19; Difference: 174.96402130850046; Time: 1016342326291;
Generation: 20; Difference: 174.8190181473044; Time: 1068905757534;
Generation: 21; Difference: 174.7531122304333; Time: 1124502980829;
Generation: 22; Difference: 174.68208813959455; Time: 1172425033667;
Generation: 23; Difference: 174.6127338183657; Time: 1229692459270;
Generation: 24; Difference: 174.5504980717778; Time: 1283828636361;
Generation: 25; Difference: 174.45699571756177; Time: 1349217846347;
Generation: 26; Difference: 174.3209388197486; Time: 1406899610157;
Generation: 27; Difference: 174.24135899839598; Time: 1464204658377;
Generation: 28; Difference: 174.21853991850773; Time: 1520768489662;
Generation: 29; Difference: 174.1960528477275; Time: 1573164827443;
Generation: 30; Difference: 174.16727791394504; Time: 1628310842780;
Generation: 31; Difference: 174.14981497076536; Time: 1681219266081;
Generation: 32; Difference: 174.1304441588167; Time: 1732982665423;
Generation: 33; Difference: 174.07637128091244; Time: 1786465029088;
Generation: 34; Difference: 174.0507599355693; Time: 1844188356676;
Generation: 35; Difference: 174.04139772771407; Time: 1904041040996;
Generation: 36; Difference: 173.9834149338022; Time: 1961689907201;
Generation: 37; Difference: 173.9422909415733; Time: 2020736170976;
Generation: 38; Difference: 173.89046408955764; Time: 2074657007933;
Generation: 39; Difference: 173.8510241676073; Time: 2128643008501;
Generation: 40; Difference: 173.82772615605577; Time: 2190177345921;
Generation: 41; Difference: 173.79595874043105; Time: 2249496614051;
Generation: 42; Difference: 173.732100243973; Time: 2315397593605;
Generation: 43; Difference: 173.70334674024622; Time: 2381022919052;
Generation: 44; Difference: 173.61777120417506; Time: 2448252923949;
Generation: 45; Difference: 173.56974400976114; Time: 2510850944121;
Generation: 46; Difference: 173.56649071264656; Time: 2571949554497;
Generation: 47; Difference: 173.50269346317668; Time: 2628422080202;
Generation: 48; Difference: 173.50080553686814; Time: 2685266234552;
Generation: 49; Difference: 173.45665559026781; Time: 2749261875040;
Generation: 50; Difference: 173.44288967246766; Time: 2805520096583;
Generation: 51; Difference: 173.41081841411798; Time: 2858482031980;
Generation: 52; Difference: 173.40006018332875; Time: 2918524923631;
Generation: 53; Difference: 173.36165438267088; Time: 2989716601390;
Generation: 54; Difference: 173.3371416822848; Time: 3053807829442;
Generation: 55; Difference: 173.3332328624923; Time: 3108581244384;
Generation: 56; Difference: 173.27388129841168; Time: 3159592836666;
Generation: 57; Difference: 173.252154646517; Time: 3216098154477;
Generation: 58; Difference: 173.230606391813; Time: 3270131653709;
Generation: 59; Difference: 173.18922993385527; Time: 3331516325482;
Generation: 60; Difference: 173.09218960203492; Time: 3412229155671;
Generation: 61; Difference: 173.08672810388794; Time: 3469797360688;
Generation: 62; Difference: 173.07694375603708; Time: 3523828263576;
Generation: 63; Difference: 173.04577015818998; Time: 3580369986336;
Generation: 64; Difference: 173.00195574895287; Time: 3639002334448;
Generation: 65; Difference: 172.96982750147816; Time: 3708597756035;
Generation: 66; Difference: 172.94690476112916; Time: 3767699955187;
Generation: 67; Difference: 172.9283360244266; Time: 3821772211244;
Generation: 68; Difference: 172.88503175040523; Time: 3881746071830;
Generation: 69; Difference: 172.8723097320879; Time: 3941985988205;
Generation: 70; Difference: 172.8423782098323; Time: 4000193778431;
Generation: 71; Difference: 172.820939322551; Time: 4062479092798;
Generation: 72; Difference: 172.79563137731085; Time: 4124949391730;
Generation: 73; Difference: 172.7809313451899; Time: 4201401730929;
Generation: 74; Difference: 172.7036480251611; Time: 4254774046473;
Generation: 75; Difference: 172.68597909573094; Time: 4331323282938;
Generation: 76; Difference: 172.6580643750998; Time: 4395218794865;
Generation: 77; Difference: 172.65490216173566; Time: 4453488850079;
Generation: 78; Difference: 172.61405746615893; Time: 4513436915517;
Generation: 79; Difference: 172.5629656770551; Time: 4567488832168;
Generation: 80; Difference: 172.54572224251365; Time: 4624419376621;
Generation: 81; Difference: 172.53648838630195; Time: 4685424263339;
Generation: 82; Difference: 172.50355454251795; Time: 4739522826418;
Generation: 83; Difference: 172.5029802921859; Time: 4807955910040;
Generation: 84; Difference: 172.48817156720318; Time: 4871180085105;
Generation: 85; Difference: 172.48367676834198; Time: 4934968941069;
Generation: 86; Difference: 172.46784348343792; Time: 5006305421365;
Generation: 87; Difference: 172.46021407912048; Time: 5074935648337;
Generation: 88; Difference: 172.44326263786914; Time: 5147924570163;
Generation: 89; Difference: 172.4196538148623; Time: 5204933350446;
Generation: 90; Difference: 172.41170318426026; Time: 5261724759485;
Generation: 91; Difference: 172.39672434719665; Time: 5319000855796;
Generation: 92; Difference: 172.39406140049735; Time: 5379972540442;
Generation: 93; Difference: 172.3877836470573; Time: 5437707791506;
Generation: 94; Difference: 172.37778148108254; Time: 5522230616076;
Generation: 95; Difference: 172.37266057607485; Time: 5605887723555;
Generation: 96; Difference: 172.34722079035726; Time: 5690413801912;
Generation: 97; Difference: 172.33843348474346; Time: 5758720425273;
Generation: 98; Difference: 172.33773379853355; Time: 5832085390849;
Generation: 99; Difference: 172.33602128186146; Time: 5917499147871;
Generation: 100; Difference: 172.33224777061776; Time: 6002566483214;
Generation: 101; Difference: 172.2904387953463; Time: 6061182772753;
Generation: 102; Difference: 172.27399653916268; Time: 6118082237008;
Generation: 103; Difference: 172.269238409435; Time: 6188857200222;
Generation: 104; Difference: 172.25531970973913; Time: 6256116025753;
Generation: 105; Difference: 172.20812069467257; Time: 6332273966389;
Generation: 106; Difference: 172.20812069467257; Time: 6412412300243;
Generation: 107; Difference: 172.2078755309029; Time: 6498138024366;
Generation: 108; Difference: 172.19446382650506; Time: 6564591106372;
Generation: 109; Difference: 172.1604650413869; Time: 6639566680113;
Generation: 110; Difference: 172.1604650413869; Time: 6710296809503;
Generation: 111; Difference: 172.15339067473195; Time: 6790626673823;
Generation: 112; Difference: 172.15040970398178; Time: 6873482280014;
Generation: 113; Difference: 172.13865070053978; Time: 6955577897507;
Generation: 114; Difference: 172.11983686694288; Time: 7053429443426;
Generation: 115; Difference: 172.10112635118114; Time: 7181526059912;
Generation: 116; Difference: 172.08721979045964; Time: 7264434260619;
Generation: 117; Difference: 172.08249974576148; Time: 7335770123590;
Generation: 118; Difference: 172.06991163226576; Time: 7398634382386;
Generation: 119; Difference: 172.06130190652846; Time: 7474354696728;
Generation: 120; Difference: 172.05671588502477; Time: 7547586022533;
Generation: 121; Difference: 172.01885667832315; Time: 7603553760265;
Generation: 122; Difference: 172.0152700099839; Time: 7664893758737;
Generation: 123; Difference: 172.00186027585426; Time: 7730180411795;
Generation: 124; Difference: 171.98926152485365; Time: 7802167836942;
Generation: 125; Difference: 171.98384813498512; Time: 7862099371805;
Generation: 126; Difference: 171.98377944179143; Time: 7925048759534;
Generation: 127; Difference: 171.97973108628383; Time: 7983324381253;
Generation: 128; Difference: 171.97718496707765; Time: 8043310468078;
Generation: 129; Difference: 171.94520224899134; Time: 8100901160141;
Generation: 130; Difference: 171.9327714409188; Time: 8156242952983;
Generation: 131; Difference: 171.91260876707267; Time: 8228177277863;
Generation: 132; Difference: 171.88478080524476; Time: 8294348723045;
Generation: 133; Difference: 171.8774816382455; Time: 8359124509451;
Generation: 134; Difference: 171.8774816382455; Time: 8418083332574;
Generation: 135; Difference: 171.8774816382455; Time: 8482013225385;
Generation: 136; Difference: 171.87421170140604; Time: 8539532912920;
Generation: 137; Difference: 171.8594962489948; Time: 8601386936860;
Generation: 138; Difference: 171.83069658275977; Time: 8660712344355;
Generation: 139; Difference: 171.8210888128158; Time: 8725440285289;
Generation: 140; Difference: 171.81882975530908; Time: 8792809588731;
Generation: 141; Difference: 171.80795759438828; Time: 8848363977610;
Generation: 142; Difference: 171.80165302871342; Time: 8900557558104;
Generation: 143; Difference: 171.79528185013348; Time: 8952154999821;
Generation: 144; Difference: 171.7899830461424; Time: 9008780726733;
