Generation: 104; Difference: 135.63430832944996; Time: 5449933162630;
Generation: 105; Difference: 135.61156740953552; Time: 5496831809762;
Generation: 106; Difference: 135.581107030846; Time: 5545274836594;
Generation: 107; Difference: 135.5608655902268; Time: 5594268684748;
Generation: 108; Difference: 135.5557558132909; Time: 5640814767096;
Generation: 109; Difference: 135.54860327946275; Time: 5689031277833;
Generation: 110; Difference: 135.54785684983008; Time: 5737069860811;
Generation: 111; Difference: 135.53682456097587; Time: 5785268474041;
Generation: 112; Difference: 135.49279157882984; Time: 5834265699539;
Generation: 113; Difference: 135.48293557346625; Time: 5881105586470;
Generation: 114; Difference: 135.48293557346625; Time: 5930285352974;
Generation: 115; Difference: 135.46855004107755; Time: 5978179078356;
Generation: 116; Difference: 135.45550625840286; Time: 6028125242520;
Generation: 117; Difference: 135.42407214920974; Time: 6075461700675;
Generation: 118; Difference: 135.42262727892253; Time: 6121901826308;
Generation: 119; Difference: 135.3842283786064; Time: 6171615714365;
Generation: 120; Difference: 135.3837320570706; Time: 6217301853955;
Generation: 121; Difference: 135.37718669502524; Time: 6265319467296;
Generation: 122; Difference: 135.37702264093696; Time: 6312010978985;
Generation: 123; Difference: 135.3627174560987; Time: 6359868023884;
Generation: 124; Difference: 135.3461013339552; Time: 6408153564715;
Generation: 125; Difference: 135.33112003759027; Time: 6456492861069;
Generation: 126; Difference: 135.32297575046408; Time: 6504317922996;
Generation: 127; Difference: 135.32297575046408; Time: 6551579930326;
Generation: 128; Difference: 135.29883895172858; Time: 6598422044422;
Generation: 129; Difference: 135.29883895172858; Time: 6646474305224;
Generation: 130; Difference: 135.2949276973543; Time: 6694880289859;
Generation: 131; Difference: 135.2949276973543; Time: 6743105740258;
Generation: 132; Difference: 135.28106979883307; Time: 6791097455138;
Generation: 133; Difference: 135.27875280862216; Time: 6839503642936;
Generation: 134; Difference: 135.24037502824652; Time: 6889535854513;
Generation: 135; Difference: 135.24037502824652; Time: 6938413514650;
Generation: 136; Difference: 135.232202793881; Time: 7005094157730;
Generation: 137; Difference: 135.232202793881; Time: 7053954010332;
Generation: 138; Difference: 135.22625883662158; Time: 7102984844411;
Generation: 139; Difference: 135.22473946572876; Time: 7152095307968;
Generation: 140; Difference: 135.19078766118247; Time: 7206458368892;
Generation: 141; Difference: 135.17686663962002; Time: 7273678451873;
Generation: 142; Difference: 135.1695929671871; Time: 7339972532252;
Generation: 143; Difference: 135.14463460237815; Time: 7406063399456;
Generation: 144; Difference: 135.13051813452404; Time: 7467350288980;
Generation: 145; Difference: 135.13051813452404; Time: 7520560074329;
Generation: 146; Difference: 135.13051813452404; Time: 7581783462112;
Generation: 147; Difference: 135.128123541062; Time: 7637278278027;
Generation: 148; Difference: 135.12591786738915; Time: 7693246103953;
Generation: 149; Difference: 135.11442644530072; Time: 7761837230115;
Generation: 150; Difference: 135.11442644530072; Time: 7826339939709;
Generation: 151; Difference: 135.1095734152865; Time: 7885102226683;
Generation: 152; Difference: 135.09531187257207; Time: 7939475494955;
Generation: 153; Difference: 135.09531187257207; Time: 7997808287257;
Generation: 154; Difference: 135.08150775263377; Time: 8074702454946;
Generation: 155; Difference: 135.06653501034114; Time: 8140989454547;
Generation: 156; Difference: 135.06653501034114; Time: 8212417202489;
Generation: 157; Difference: 135.05612769180712; Time: 8295204536824;
Generation: 158; Difference: 135.05612769180712; Time: 8360646461432;
Generation: 159; Difference: 135.0456281906986; Time: 8426433026866;
Generation: 160; Difference: 135.0456281906986; Time: 8486097682481;
Generation: 161; Difference: 135.02993710918497; Time: 8548505341719;
Generation: 162; Difference: 135.02993710918497; Time: 8614791354056;
Generation: 163; Difference: 135.0145637003425; Time: 8686516864946;
Generation: 164; Difference: 135.0142822622663; Time: 8749867696956;
Generation: 165; Difference: 135.00923564543356; Time: 8811061816328;
Generation: 166; Difference: 135.0018071088993; Time: 8890402432424;
Generation: 167; Difference: 134.99156740484295; Time: 8956099224973;
Generation: 168; Difference: 134.99041069729586; Time: 9032216042285;
Generation: 169; Difference: 134.97338503107954; Time: 9107172206766;
Generation: 170; Difference: 134.97099437644937; Time: 9182044553860;
Generation: 171; Difference: 134.96760636675594; Time: 9257296478279;
Generation: 172; Difference: 134.94292273321514; Time: 9335396387937;
Generation: 173; Difference: 134.91872827762376; Time: 9431437237501;
Generation: 174; Difference: 134.91563825743526; Time: 9528981788901;
Generation: 175; Difference: 134.898601089814; Time: 9655390082364;
Generation: 176; Difference: 134.88309286902063; Time: 9755399651241;
Generation: 177; Difference: 134.88309286902063; Time: 9840899460866;
Generation: 178; Difference: 134.87996188591976; Time: 9973827908900;
Generation: 179; Difference: 134.8620099166181; Time: 10059824628161;
Generation: 180; Difference: 134.84581401920565; Time: 10131743488438;
Generation: 181; Difference: 134.84581401920565; Time: 10202470173666;
Generation: 182; Difference: 134.84581401920565; Time: 10271824327419;
Generation: 183; Difference: 134.84581401920565; Time: 10340192498357;
Generation: 184; Difference: 134.84581401920565; Time: 10405527744757;
Generation: 185; Difference: 134.84581401920565; Time: 10479424814237;
Generation: 186; Difference: 134.84458264992236; Time: 10557756792172;
Generation: 187; Difference: 134.84458264992236; Time: 10635803912066;
Generation: 188; Difference: 134.83946059599756; Time: 10706599183531;
Generation: 189; Difference: 134.83946059599756; Time: 10774344961281;
Generation: 190; Difference: 134.8342318432219; Time: 10837796001587;
Generation: 191; Difference: 134.8335692769467; Time: 10902528332645;
Generation: 192; Difference: 134.83167636609238; Time: 10967123406761;
Generation: 193; Difference: 134.83167636609238; Time: 11030135192471;
